COG0012	ychF
COG0016	pheS
COG0018	argS
COG0048	rpsL
COG0049	rpsG
COG0052	rpsB
COG0080	rplK
COG0081	rplA
COG0085	rpoB
COG0087	rplC
COG0088	rplD
COG0090	rplB
COG0091	rplV
COG0092	rpsC
COG0093	rplN
COG0094	rplE
COG0096	rpsH
COG0097	rplF
COG0098	rpsE
COG0099	rpsM
COG0100	rpsK
COG0102	rplM
COG0103	rpsI
COG0124	hisS
COG0172	serS
COG0184	rpsO
COG0185	rpsS
COG0186	rpsQ
COG0197	rplP
COG0200	rplO
COG0201	secY
COG0202	rpoA
COG0215	cysS
COG0256	rplR
COG0495	leuS
COG0522	rpsD
COG0525	valS
COG0533	tsaD
COG0541	ffh
COG0552	ftsY
